ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12601806,JF124113,01/01/2022 12:00:00 AM,002XX E HURON ST,0890,THEFT,FROM BUILDING,HOSPITAL BUILDING / GROUNDS,false,false,1834,018,42,8,06,1178046,1905133,2022,10/11/2022 04:45:59 PM,41.895003278,-87.62152816,"(41.895003278, -87.62152816)"
12614514,JF140165,01/01/2022 12:00:00 AM,029XX W 64TH ST,0890,THEFT,FROM BUILDING,APARTMENT,false,false,0823,008,17,66,06,1158000,1862063,2022,10/11/2022 04:45:59 PM,41.777246938,-87.696324784,"(41.777246938, -87.696324784)"
12613727,JF139205,01/01/2022 12:00:00 AM,034XX W 84TH ST,0810,THEFT,OVER $500,RESIDENCE,false,false,0834,008,18,70,06,1155015,1848679,2022,10/11/2022 04:45:59 PM,41.740579258,-87.707624743,"(41.740579258, -87.707624743)"
12621579,JF148899,01/01/2022 12:00:00 AM,062XX S NORMAL BLVD,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,false,false,0711,007,20,68,26,1174039,1863339,2022,10/11/2022 04:45:59 PM,41.780407352,-87.637488172,"(41.780407352, -87.637488172)"
12623075,JF150751,01/01/2022 12:00:00 AM,040XX W 21ST ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,1012,010,24,29,11,1149761,1889784,2022,10/11/2022 04:45:59 PM,41.853480815,-87.72581075,"(41.853480815, -87.72581075)"
12614459,JF140035,01/01/2022 12:00:00 AM,0000X W HURON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,1832,018,42,8,11,1175589,1905054,2022,10/11/2022 04:45:59 PM,41.894842078,-87.630554342,"(41.894842078, -87.630554342)"
12628421,JF157240,01/01/2022 12:00:00 AM,013XX W 80TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0612,006,21,71,26,1168967,1851721,2022,10/11/2022 04:45:59 PM,41.748637183,-87.656418152,"(41.748637183, -87.656418152)"
12631937,JF161510,01/01/2022 12:00:00 AM,025XX W FITCH AVE,1540,OBSCENITY,OBSCENE MATTER,APARTMENT,true,true,2411,024,50,2,26,1158073,1947357,2022,10/11/2022 04:45:59 PM,42.011299722,-87.693726174,"(42.011299722, -87.693726174)"
12636661,JF165282,01/01/2022 12:00:00 AM,002XX W 24TH PL,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,false,true,0914,009,25,34,17,1175140,1888067,2022,10/11/2022 04:45:59 PM,41.84823874,-87.632712604,"(41.84823874, -87.632712604)"
12626022,JF154169,01/01/2022 12:00:00 AM,005XX W 115TH ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,GOVERNMENT BUILDING / PROPERTY,false,false,2233,022,34,49,17,1174585,1828632,2022,10/11/2022 04:45:59 PM,41.685154594,-87.636516591,"(41.685154594, -87.636516591)"
12639434,JF170329,01/01/2022 12:00:00 AM,023XX W ROSEMONT AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,false,false,2413,024,50,2,26,1159709,1941773,2022,10/11/2022 04:45:59 PM,41.995943348,-87.687861536,"(41.995943348, -87.687861536)"
12640325,JF171572,01/01/2022 12:00:00 AM,047XX S MARSHFIELD AVE,0810,THEFT,OVER $500,APARTMENT,false,false,0931,009,20,61,06,1166137,1873359,2022,10/11/2022 04:45:59 PM,41.80807526,-87.666173157,"(41.80807526, -87.666173157)"
12652119,JF185547,01/01/2022 12:00:00 AM,035XX N SPRINGFIELD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1732,017,30,21,11,1149768,1923182,2022,10/11/2022 04:45:59 PM,41.945128191,-87.724915717,"(41.945128191, -87.724915717)"
12658052,JF192634,01/01/2022 12:00:00 AM,097XX S DOBSON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0511,005,8,50,11,1184928,1840619,2022,10/11/2022 04:45:59 PM,41.717812616,-87.598279249,"(41.717812616, -87.598279249)"
12700770,JF244433,01/01/2022 12:00:00 AM,058XX N HERMITAGE AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,false,true,2012,020,40,77,17,1163749,1938616,2022,10/11/2022 04:45:59 PM,41.987195919,-87.673089817,"(41.987195919, -87.673089817)"
12704864,JF247038,01/01/2022 12:00:00 AM,030XX W 111TH ST,0620,BURGLARY,UNLAWFUL ENTRY,COMMERCIAL / BUSINESS OFFICE,false,false,2211,022,19,74,05,1157851,1830853,2022,10/25/2022 04:46:49 PM,41.691604537,-87.697715996,"(41.691604537, -87.697715996)"
12710292,JF255670,01/01/2022 12:00:00 AM,008XX W ARMITAGE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,DEPARTMENT STORE,false,true,1812,018,43,7,26,1170195,1913506,2022,10/25/2022 04:46:49 PM,41.918154385,-87.650117624,"(41.918154385, -87.650117624)"
12704946,JF249624,01/01/2022 12:00:00 AM,054XX N SHERIDAN RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,2023,020,48,77,11,1168658,1936265,2022,10/25/2022 04:46:49 PM,41.980639456,-87.65510293,"(41.980639456, -87.65510293)"
12710828,JF256679,01/01/2022 12:00:00 AM,016XX W WASECA PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,2234,022,34,75,11,1167202,1829863,2022,10/25/2022 04:46:49 PM,41.688693362,-87.663508913,"(41.688693362, -87.663508913)"
12702634,JF246958,01/01/2022 12:00:00 AM,012XX W VAN BUREN ST,0810,THEFT,OVER $500,RESIDENCE - GARAGE,false,false,1231,012,28,28,06,1168185,1898312,2022,10/25/2022 04:46:49 PM,41.876504743,-87.657941902,"(41.876504743, -87.657941902)"
12821493,JF389097,01/01/2022 12:01:00 AM,017XX W 18TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,SMALL RETAIL STORE,false,false,1234,012,25,31,11,1165000,1891449,2022,10/25/2022 04:46:49 PM,41.857740249,-87.669830912,"(41.857740249, -87.669830912)"
12821568,JF389201,01/01/2022 12:01:00 AM,049XX N SHERIDAN RD,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,2024,020,48,3,06,1168735,1933264,2022,10/25/2022 04:46:49 PM,41.972402958,-87.65490716,"(41.972402958, -87.65490716)"
12858963,JF434008,01/01/2022 12:01:00 AM,027XX S TRUMBULL AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,false,false,1032,010,22,30,17,1153809,1885609,2022,10/25/2022 04:46:49 PM,41.841944565,-87.711064084,"(41.841944565, -87.711064084)"
12877467,JF456174,01/01/2022 12:01:00 AM,110XX S DR MARTIN LUTHER KING JR DR,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,false,false,0513,005,9,49,17,1180872,1831835,2022,11/03/2022 04:44:15 PM,41.693802225,-87.613403602,"(41.693802225, -87.613403602)"
12611186,JF133803,01/01/2022 12:01:00 AM,087XX S BEVERLY AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,2221,022,21,71,05,1164790,1846586,2022,10/11/2022 04:45:59 PM,41.734635134,-87.671868854,"(41.734635134, -87.671868854)"
